agreement,contraente,direzione,esecuzione,prevalenza,tipologia_lavoro,class_flat
corrispettivo,artigiano,impresa,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,muratori,n
corrispettivo,artigiano,impresa,artigiano_aiutante,bene_realizzato,muratori,m
ai_servizi,artigiano,impresa,artigiano_aiutante,bene_realizzato,sarti,m
ai_servizi,artigiano,impresa,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,sarti,n
orale,artigiano,impresa,artigiano_aiutante,bene_realizzato,sarti,m
orale,artigiano,impresa,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,sarti,n
appalto_a_regia,artigiano,impresa,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,sarti,n
appalto_a_regia,artigiano,impresa,artigiano_aiutante,bene_realizzato,sarti,m
vendita,artigiano,impresa,artigiano_aiutante,bene_realizzato,sarti,m
vendita,artigiano,impresa,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,sarti,n
corrispettivo,artigiano,impresa,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,sarti,n
corrispettivo,artigiano,impresa,artigiano_aiutante,bene_realizzato,sarti,m
appalto_a_regia,impresa,artigiano,artigiano_aiutante,bene_realizzato,elettrici,m
appalto_a_regia,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,elettrici,n
vendita,impresa,artigiano,artigiano_aiutante,bene_realizzato,elettrici,m
vendita,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,elettrici,n
corrispettivo,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,elettrici,n
corrispettivo,impresa,artigiano,artigiano_aiutante,bene_realizzato,elettrici,m
orale,impresa,artigiano,artigiano_aiutante,bene_realizzato,elettrici,m
orale,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,elettrici,n
ai_servizi,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,elettrici,n
ai_servizi,impresa,artigiano,artigiano_aiutante,bene_realizzato,elettrici,m
orale,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,architetto,i;n
orale,impresa,artigiano,artigiano_aiutante,bene_realizzato,architetto,i;m
appalto_a_regia,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,architetto,i;n
appalto_a_regia,impresa,artigiano,artigiano_aiutante,bene_realizzato,architetto,i;m
vendita,impresa,artigiano,artigiano_aiutante,bene_realizzato,architetto,i;m
vendita,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,architetto,i;n
corrispettivo,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,architetto,i;n
corrispettivo,impresa,artigiano,artigiano_aiutante,bene_realizzato,architetto,i;m
ai_servizi,impresa,artigiano,artigiano_aiutante,bene_realizzato,architetto,i;m
ai_servizi,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,architetto,i;n
vendita,impresa,artigiano,artigiano_aiutante,bene_contestualmente_eseguito_lavoro,ingegnere,i;n
